nagromadzenie G2_następstwo
nastawienie SUBJ_znaczyć
trębacz AND_lutnista
człowiek idealny
rzecznik SUBJ_skłonić
dom AND_pomylenie
rewizja szybki
tytuł G1_wyjaśnienie
wprowadzanie AND_przestrzeganie
atrybut G1_desygnat
aleja AND_krzyż
sterowanie AND_logik
spostrzeżenie AND_rzut
następca G2_kochanka
las woli
broń G2_struzik
przyczynka SUBJ_wzbogacać
przepych AND_wzniosłość
emeryk G2_mieszkanie
hossa SUBJ_powtórzyć
przesadnia SUBJ_zastać
tymczasowość pewny
pionier G1_demokracja
drukowanie SUBJ_zaniechać
oddział lwówecki
misja unijny
supermarket AND_winda
borowik G2_piłkarz
armia błękitny
noga G1_tłumok
kreskówka rosyjski
dokument G1_wicepremier
trener G2_chronienie
koło G1_biegun
znudzenie AND_niedosyt
porównanie AND_klient
bogactwo G1_partia
pogoń siedlecki
armia libijski
wojna czterodniowy
odgłos AND_kłopot
kolumienka SUBJ_wieńczyć
pracownik kluczowy
mangan SUBJ_występować
olej pełnowartościowy
źródło G1_przemyślenie
pędzel SUBJ_maczać
wyjaśnianie G2_możliwość
atak G1_igrek
gość AND_potrawa
chrzęst G1_kostka
godzina G1_kubek
śmierć SUBJ_radować
pracodawca SUBJ_redukować
niedobór SUBJ_wyeliminować
wagon SUBJ_okradać
cząstka G1_teren
uregulowanie bezpośredni
dziecko SUBJ_zdziesiątkować
bachledówka AND_góra
tajemnica AND_eurydyka
zgłaszanie G1_wychowawca
dyktatura nowy
tekst G1_sławka
trafienie SUBJ_rozłożyć
knot SUBJ_podkręcić
przeszłość niechlubny
lornetka SUBJ_odłożyć
kiermasz G1_bibuła
laureatka G1_pokojowa
krzyż SUBJ_wmurować
siateczka G2_błonie
szereg G1_przemówienie
żart jarmarczny
wrzodak SUBJ_popierać
sztab SUBJ_dysponować
samochód wiśniowy
morena kamienisty
maestro AND_ojciec
nowak AND_tadeusz
sytuacja G2_komentator
ujęcie G1_matematyk
powstanie AND_napaść
setka G1_reflektor
beneficjent G1_prywatyzacja
kamień G2_wmurowanie
wieczko blaszany
posiedzenie G1_decydent
salon AND_zbiorek
wystąpienie G2_rumunia
strona G2_przeprosiny
rozmowa G1_turka
zwiedzenie G1_hala
funkcjonowanie G2_element
kontrast wysoki
oficer AND_komodor
przygotowanie G2_ster
narkoza społeczny
poszerzenie SUBJ_wymuszać
telefon SUBJ_odezwać
obieg G2_granica
pasja G2_wysiłek
porządek SUBJ_niweczyć
inicjatywa poważny
oczywistość SUBJ_stanowić
stabilność G1_tor
poznanie AND_zadomowienie
odór G1_krew
gradacja G1_owad
przyznanie SUBJ_przyśpieszyć
dystrybucja G2_uruchomienie
taktowanie G2_szybkość
ogier SUBJ_parskać
lotaryngia AND_normandia
zbyt AND_nabycie
finalista zeszłoroczny
kuchnia G2_przeciwniczka
barwa drugi
julita G1_śmigło
wniosek SUBJ_szeregować
ojciec ukochany
niemcy AND_włoch
napis uszkodzony
parkowanie AND_holowanie
umowa społeczny
zakład AND_powiększanie
wspomnienie G2_biblioteka
próżność AND_arogancja
pojazd SUBJ_wietrzyć
skórski AND_eryk
jarzębiak AND_koniak
nałóg G1_zwrot
kolej G2_ukazanie
młodzież były
oszustka SUBJ_wykorzystać
nastolatek G2_zespół
komunikacja AND_metro
pływanie SUBJ_wyznaczać
myjnia G1_wózek
nota AND_przyczynek
scenariusz AND_sprawozdanie
rulewski AND_zbigniew
prawnik AND_decydent
gazeta AND_teza
gustaw G2_ojciec
zagadnienie AND_trend
legenda SUBJ_popatrzyć
korba SUBJ_obracać
rynek G2_czujność
łyżka cynowy
przygotowanie G1_psiak
sąsiadka AND_sąsiad
gracjan AND_rafał
rolnik rozgoryczony
gadzina G2_zaatakowanie
niesprawiedliwość pewny
osłona SUBJ_zapewniać
gniazdko SUBJ_znajdować
mafia G1_leczo
postępowanie obszerny
kminek AND_tymianek
przeszłość SUBJ_zacierać
posterunek cały
drób G2_traktowanie
widok G1_miniatura
uznanie G1_naukowiec
kronikarz G1_obyczaj
emocja AND_wiór
mason G2_metoda
inicjatywa G1_uregulowanie
pomysł G1_laura
dostawca SUBJ_rozwijać
państwo AND_dyktator
deser AND_zupka
rząd kosowski
dalkia SUBJ_kupić
tato G2_alba
przygotowanie komputerowy
ireneusz SUBJ_wybrać
dobrobyt AND_satysfakcja
otoczenie G1_sikorski
wielkość G1_zbiór
przyszłość G1_inteligencja
psycholog SUBJ_wyjmować
gwarek SUBJ_cofnąć
jakub SUBJ_zapadać
skład SUBJ_dostosować
następca G1_kujawa
wartościowanie G1_konformizm
medycyna AND_stomatolog
rak AND_palenie
pałac G1_ajatollah
ogrom AND_ciężar
nadanie SUBJ_następować
wzór G2_edytor
znieczulenie AND_odkrycie
przekazanie AND_część
myśl ogólniejszy
regulacja G2_ujednolicenie
jarzmo sowiecki
jola SUBJ_rozglądać
wycena AND_inwestycja
alarm zainstalowany
przodek SUBJ_zlecić
trójmiasto AND_turysta
grupa AND_potocki
przekazanie G1_wieniec
pionek AND_kość
wyciąganie nieumiejętny
wyposażenie G2_ewidencjonowanie
koszmar G2_fabryka
szlafrok SUBJ_narzucać
nazwisko SUBJ_przeniknąć
anoksja AND_planeta
rowerek AND_hulajnoga
podwórko SUBJ_rzucać
serwer G1_koncern
murzyn AND_dzieciak
płot AND_zarośle
słuchawka G2_umieszczenie
przedzieranie G2_tempo
brygadzista G1_henryka
major SUBJ_pociągnąć
harmider AND_rozgłos
duch SUBJ_tupnąć
żołdak SUBJ_kraść
strona nazistowski
prośba SUBJ_rozpoznawać
poszukiwanie G2_gen
chłodzenie G2_zestaw
zbroja AND_szczęk
piekarz SUBJ_lubić
kontrola testowy
przyjaźń AND_grzeczność
wyliczenie G1_efektywność
stosunek G1_publiczność
taniec G1_cygan
trener G2_chłopek
pobyt kilkakrotny
liczenie AND_służba
irenka SUBJ_zadać
włócznia AND_karabin
odlew aluminiowy
zbadanie G1_istnienie
radio G2_miłośnik
dokument AND_niepełnosprawność
smyczek AND_blacha
wskazanie SUBJ_zażądać
festiwal SUBJ_wymyślić
krystyna AND_michał
budowanie AND_szeregowanie
babcia SUBJ_oszczędzać
ohyda AND_waga
wczasy AND_ferie
bunt G2_detonator
kolarz G2_piątka
tendencja zdecydowany
zorganizowanie G2_wola
muszelka AND_kamyk
kuch AND_kromka
czesława AND_dominikanin
uprzedzenie G1_wiek
nałóg AND_boja
hamulec G2_komplet
instrumentum różnorodny
przypisywanie G1_domena
neoklasycyzm francuski
płaszcz SUBJ_leżeć
specyfika G2_duch
terroryzm AND_wandalizm
traktat SUBJ_posługiwać
wada AND_niezgodność
kontuzja SUBJ_pojechać
oddziaływanie G1_filozofia
przyozdabianie AND_odbudowa
kopuła elipsoidalny
polecenie G1_zniszczenie
magnat SUBJ_popierać
rozgrywanie G2_swoboda
góra przeciwległy
piksel SUBJ_klonować
zużycie SUBJ_przekraczać
prasówka SUBJ_prowadzić
wykonanie G1_jurek
berlin AND_brandenburgia
część AND_żuchwa
siła SUBJ_wpychać
strata AND_spustoszenie
wiceprzewodniczący G1_europarlament
wymiana G1_płoza
przykład G1_stryj
ręka G1_kombatant
parametr G2_opublikowanie
zawartość SUBJ_wywozić
zjedzenie G2_myśl
donos AND_prześladowanie
zasiłek G2_likwidacja
sentyment AND_muzyka
miotła SUBJ_odsuwać
kontakt internetowy
dobro G1_korona
ofiarowanie AND_powiedzenie
akceptowanie G1_dieta
dyżur pański
energetyk AND_połączenie
książę G1_król
wadowiczanin SUBJ_próbować
koszt G2_zaliczka
rzetelność G1_księga
giełda SUBJ_przestraszyć
depozytariusz G2_bank
ćwiczenie AND_osiągnięcie
walka AND_polskość
wyrażenie G1_nadzieja
budowa G1_skarpa
nastrój AND_histeria
znalezienie AND_korzyść
altana letni
kół G2_średnica
wojewoda SUBJ_zapytać
uzdatnienie AND_transport
napster AND_sklep
praca najistotniejszy
okres G1_rozdawanie
wilgoć AND_zieleń
zaliczka G2_rozliczenie
załoga G2_kwalifikacja
płatnik unijny
ręka G1_mama
prześladowanie ponowny
opanowanie G1_przestrzeń
kolega G2_komputer
striptizerka AND_pani
dysk G2_prędkość
kłamstwo drobny
pocisk AND_czołg
orbita ciasny
utrapienie AND_zagrożenie
panna G2_życiorys
porażka AND_wyjście
towarzyszka G1_wyprawa
chata SUBJ_ściągnąć
zachowek SUBJ_należeć
filip SUBJ_przesiadywać
laurek SUBJ_dostać_dostanie
jagoda SUBJ_unikać
ciąg G1_dzieło
komuna AND_komuna
ślusarstwo G2_szkoła
trawka G2_posmak
droga tymczasowy
jaworzyna G2_trasa
jarosław AND_szymański
zamsz SUBJ_zestawiać
przeprawa SUBJ_wybrać
odsunięcie G1_tkanka
użytkownik AND_obleczenie
danie AND_ciasto
cera zielonkawy
winorośl AND_róża
czynsz AND_woda
wino SUBJ_ściekać
selekcja G1_tematyka
ujście nowy
rygor G1_kobieta
polecenie SUBJ_otwierać
honorarium G2_zawyżanie
awantura SUBJ_rozpętać
siła G1_tęsknota
hipoteza SUBJ_wspierać
napastnik SUBJ_wyprzeć
staż trzyletni
ustawa G2_topór
pruderia G1_europa
przyrost SUBJ_zaobserwować
sadzonka G2_część
podrobienie SUBJ_postać_postanie
aktualizacja G2_datowanie
zapalenie SUBJ_przechodzić
drużyna AND_gram
dzieło SUBJ_zdeprecjonować
ił G1_kropla
spód G1_znak
zieleń AND_zbadanie
syn G2_piastunka
ognisko G2_podtrzymanie
marian AND_komar
marek AND_barbara
powierzchnia gładki
zrobienie G1_izolacja
brak G1_prącie
chemik AND_bydgoszcz
bilion G1_operacja
skonfrontowanie G1_wyobrażenie
gust SUBJ_zmieniać
zarzut G1_ryszard
ton AND_lak
umowa negocjowany
krzak AND_fryzjerek
tyka G1_projekt
doktór G2_odczyt
kopytko G2_talerz
pędzel G2_ustawienie
prawdziwość G1_odczuwanie
bohater AND_kawalerzysta
remont G1_sukienka
kamień SUBJ_wylecieć
jak G1_wiertło
opilstwo SUBJ_koić
właściwość G2_suma
ziemianin SUBJ_obserwować
unowocześnienie G1_ustrój
wielość G1_talent
przesłanie nadrzędny
szefowa G1_stewardesa
wybieranie G2_potrzeba
modernizacja G2_okazja
marketing G2_potencjał
wyrażenie G1_frustracja
damian AND_patrycja
wykorzystanie AND_nadużycie
naród cwany
okiennica SUBJ_zatrzymywać
cząsteczka rzeczywisty
zachowanie G1_więzy
kierowanie AND_lista
zatrzymanie AND_zabezpieczenie
granda G2_ogłoszenie
określenie AND_istotność
perypetia G1_prorok
alarm SUBJ_podnosić
marysia AND_ryszard
nałóg AND_naruszanie
praktyka G1_działanie
komunikat G1_departament
sieć SUBJ_napotkać
niepodległość SUBJ_przełknąć
mozambik G1_pani
bonifikata SUBJ_dotyczyć
dublerka G2_sprawdzanie
konsolidacja AND_umiędzynarodowienie
zarządzanie prywatny
śpiew donośny
poezja G2_biegunowość
wata AND_sabadyla
cel G1_dalin
unikanie AND_dobro
obóz SUBJ_skłócać
okno AND_wejście
wynajęcie SUBJ_umożliwiać
maska SUBJ_odbijać
klapka SUBJ_pozostawać
wygląd przedstawiony
myślenie G2_chemia
subiektywność G2_przestrzeń
grzbiet G1_ręka
rozkosz ziemski
patrol SUBJ_podziękować
chrust AND_szyszka
nagradzanie G2_sposób
parodiowanie G1_grupa
rodzaj G1_pokarm
trzeźwość AND_kontakt
fenomen SUBJ_objaśnić
radość ponury
brygada międzynarodowy
gnój AND_gówno
nik SUBJ_uchwalać
strzelnica G2_pawilon
przejście G2_wizja
rekonstrukcja kryminalistyczny
jezdnia AND_reklama
restytucja G2_ograniczenie
widowisko SUBJ_obejrzeć
podłoże SUBJ_zbadać
ojcowizna SUBJ_stać_stanie
istota G1_leasing
mecenas G1_mirosława
chęć G1_zbliżenie
zebranie AND_spotkanie
mur AND_przedmurze
część G1_etat
czyrak AND_oparzenie
afrodyta SUBJ_polecieć
odwaga AND_ostrożność
krasomówstwo AND_liryka
tekst SUBJ_uszyć
mężczyzna SUBJ_wysadzić
but SUBJ_uwzględniać
brat G1_artystka
bóg G1_olimp
artyleria G2_pozycja
koszykarz SUBJ_rozgromić
teoria AND_twierdzenie
nadwiślański G1_kuchnia
propagowanie AND_odkrywanie
ugoda SUBJ_występować
partyzant słowacki
okaz SUBJ_ważyć
syn SUBJ_dopowiadać
gwałt AND_gorączka
człowiek SUBJ_uczulić
skawina G1_stanisław
negowanie G2_postawa
obstrukcja G2_trakt
myśl SUBJ_odciągać
uczeń G2_ilość
analiza G1_wiersz
mielenie AND_przyrządzanie
podanie prostopadły
język SUBJ_przestawić
las G1_województwo
znajomość powszechny
głąb G1_warszawa
beknięcie G1_syrena
żona G1_janusz
wspomnienie SUBJ_przywołać
wytworzenie G1_nawóz
wrzawa SUBJ_uśmierzyć
modus AND_toyota
procedura niejasny
inwestor G1_zysk
witryna G2_zarejestrowanie
siatkarka G2_zgrupowanie
fachowość AND_spokój
samochód wielofunkcyjny
opolskie AND_opole
scenka AND_krajobraz
należność SUBJ_wypłacać
zgięcie G2_ograniczenie
program G2_udoskonalanie
giżycko SUBJ_potwierdzać
przyznawanie AND_umarzanie
dzwonek AND_logotyp
pozew SUBJ_wymieniać
przemoc AND_hazard
błądzenie SUBJ_snąć
wystawienie AND_wręczenie
kształtowanie G1_rozmieszczenie
zegar SUBJ_służyć
przemyt G1_papieros
czyn AND_wymiar
profesor G2_potrącenie
dom główny
pasożyt G2_liczba
kozik SUBJ_odbić
akcja zmasowany
drzwiczki SUBJ_wybrzuszać
zdarzenie G1_rolnica
pamięć G2_uhonorowanie
latanie SUBJ_nizać
trasa oznakowany
scena G1_porwanie
deputowany tamtejszy
komunikacja G1_osiedle
literat chudy
bawełna G2_odpadek
piękno SUBJ_zielenić
detektyw G1_marka
nadwaga AND_alkoholizm
obrzęd G2_uczestnik
wprowadzenie G1_algorytm
wdówka SUBJ_unieść
psycholog SUBJ_uświadamiać
pani G2_krem
pozwolenie SUBJ_wymagać
daktyl AND_banan
rola G1_wskrzesiciel
konsekwencja AND_ciągłość
królestwo G2_urzeczywistnianie
dzierżawca SUBJ_zatrudniać
blok budowany
dofinansowanie G1_adaptacja
muzeum SUBJ_zaoferować
polak AND_sprawdzian
facet AND_gabaryt
aktywność SUBJ_wałęsać
kilka G1_świder
łączenie swobodny
końcówka G1_wrocławianka
zmienność G2_wielkość
baza G2_administrowanie
ciotunia SUBJ_cierpieć
alpejka SUBJ_zdecydować
ród SUBJ_podbić
auksyna G2_nazwa
logika G1_gospodarka
korowód G1_widmo
wyczyn SUBJ_wręczyć
zadanie G2_akceptacja
szelka luźny
broń G2_fascynująco
nutka G1_desperacja
postać AND_myśliciel
chodząco SUBJ_pozdrawiać
odsetka G2_seks
uzbrojenie AND_załoga
posłanka SUBJ_wykrzykiwać
jednoczenie G1_działacz
wyjątek G1_jolanta
prezes SUBJ_błagać
sprzączka AND_szew
krucjata SUBJ_gloryfikować
polonia AND_dzwonnik
szlak G2_skrzyżowanie
pałasz SUBJ_wyciągnąć
mag SUBJ_chybnąć
chłopek G1_komendant
nawyk G1_jedzenie
rocznik G2_absolwent
bartoszewski AND_marek
publikacja masowy
szczypta G1_metafizyka
dziewczyna AND_opatrunek
firma legnicki
imperator G1_biznes
zło bezwzględny
rozpiska G1_koncert
kształt G1_zjazd
przedmiot G1_bałagan
rzecz G1_interwenient
gadżet G2_dłoń
zwycięzca SUBJ_zagrać
szkolenie AND_tresura
leże G2_kubek
kontakt G2_tok
okolica G1_lodowisko
prowadzenie SUBJ_zmarnować
jan AND_meller
trawa AND_kłącze
dane AND_powód
akord fortepianowy
szczep G2_szereg
gmina G2_reprezentacja
donos G2_wynik
układ groźny
drwa SUBJ_trzaskać
godność AND_majestat
uchwała AND_przemówienie
wykrycie przypadkowy
łączenie G1_kama
wychylenie SUBJ_mieścić
osoba ukochany
korelat G1_mentalność
pomysłodawca SUBJ_postanowić
myśl AND_intelekt
utarg G1_stoisko
trud SUBJ_udźwignąć
billboard SUBJ_wisieć
szereg AND_przeżycie
partia przyszły
wskaźnik G1_ożywienie
oskarżycielka SUBJ_zarzucić
szwecja G2_ambasador
ubiór specjalny
współpraca SUBJ_podtrzymać
mama SUBJ_głodować
niewypłacalność AND_dług
powstawanie SUBJ_zająć
akceptacja znaczący
pensjonariusz SUBJ_informować
żaglowiec G2_rejs
marek AND_kacper
przyporządkowanie G2_problem
jeździec SUBJ_utkwić
mecz AND_podróż
zeznanie AND_poszlaka
przyczółek G2_wymiana
namowa G1_pan
motywowanie G1_uczeń
prowadzenie AND_przygotowanie
stosunek G1_społeczeństwo
widmo G1_drożyzna
wykorzystanie AND_materializm
zastępca G1_dominika
blues G2_magia
plastyk wiśnicki
zbigniew AND_antosz
przeczytanie G1_opracowanie
urbaniak AND_piotr
działanie G1_kompot
bilans G1_zaleta
pałac G2_makieta
akt G1_umocowanie
napis SUBJ_obstalować
olejek SUBJ_kupować
człowiek AND_ustasz
gniezno G1_trening
pierwszoplanowość G2_przejęcie
seria SUBJ_powstrzymać
bezpieczeństwo złudny
borowicz AND_malinowski
dobór AND_repertuar
zakładanie AND_użytkownik
ława AND_skrzynia
przelot G1_kiełb
sprawdzanie AND_rejestracja
zamknięcie SUBJ_rozważać
cytat konkretny
dochód AND_pensja
warownia G2_los
podstęp AND_zręczność
śmiertelność AND_przemijanie
ciśnienie G1_wóda
par SUBJ_testować
prognozowanie AND_analiza
emigracja G2_groźba
materiał specjalny
hipis AND_metal
ślubowanie G2_poemat
uzyskiwanie G1_rekomendacja
konkurencyjność G2_miara
poświadczanie G1_zrozumienie
lecznictwo publiczny
członek AND_kamiński
cech SUBJ_darować
gałuszka AND_sadzawicki
warsztat G1_cyrk
krążownik przestarzały
bliźniak chory
testowanie SUBJ_przypaść
artystka SUBJ_rozchorować
poznanie AND_wieluń
ania G2_beat
łowiectwo SUBJ_decydować
hans SUBJ_wyjść
gloryfikacja AND_jad
rozsądek AND_intelekt
kolczuga SUBJ_używać
graczyk SUBJ_pisać
bieda G2_dynamika
skała jednorodny
zbrojenie gigantyczny
autoerotyzm SUBJ_prowadzić
ziemia G2_wyodrębnienie
nożyce AND_obcęgi
kariera G1_leń
przedmiot G2_sprzedanie
miejscowość nadrzeczny
obiad lekki
picie G2_sam
odbiór G1_obiekt
książę sławny
podsumowanie G1_przeszłość
odszkodowanie G2_marzec
matka G1_cezar
zamknięcie AND_instalacja
on G2_indagowanie
zgłaszanie AND_udostępnianie
zięba AND_szpak
strzelanie G2_donośność
tron G2_wprowadzenie
przygotowanie świetny
rynek sanocki
zasilacz G2_wymiana
rad AND_samorząd
lider AND_klawiszowiec
egzotyka AND_bliskość
postępowanie AND_dział
chrześcijaństwo SUBJ_ukształtować
znamię dwudzielny
kwas SUBJ_wylać
działo G1_obsługa
kometa G2_kawałek
innowacja AND_ciekawostka
polecenie G1_indeksowanie
beza G2_szymczak
stefaniak SUBJ_poinformować
umysł AND_rozum
sonda AND_robota
kaczyński G2_rzeczpospolita
kolor G1_wykładzina
wymienialność AND_upłynnienie
plecy G1_miażdżąco
przesłuchanie G1_baranowski
stępa AND_galop
tożsamość G2_zakwestionowanie
kobieta upokorzony
szansa G1_schwarzenegger
rabat SUBJ_przyznać
czterolatek SUBJ_napotkać
bombaj AND_madras
johnson SUBJ_grać
kochanek SUBJ_doglądać
kraj G1_rolnica
nieprawość G2_tajemnica
wyświetlanie G1_rozszerzenie
ojciec AND_odkupiciel
zagrożenie AND_niepewność
maska szybki
humanista AND_miłośnik
sposób G1_dowodzenie
pasza AND_skarmianie
prowincja utracony
rytuał AND_astronomia
potrzeba G2_pokrycie
chrześcijanin SUBJ_akceptować
koprodukcja AND_produkcja
ultrasonograf nowy
podsłuch G2_wykrywacz
schemat G1_inwestycja
kuczyński SUBJ_pójść
diagnostyka G2_etap
pacławski AND_dworak
porządek SUBJ_ustanawiać
ton dostojny
pabianica G2_oldboj
zebranie drugi
plebiscyt SUBJ_kontynuować
mocarstwo G2_rzecz
zwycięstwo G1_pisarstwo
konsekwencja G2_poniesienie
klasa SUBJ_sprzątać
jakub SUBJ_reprezentować
strategia G1_diagnoza
pneumatyka SUBJ_zaświergotać
zgroza AND_pohańbienie
wicepremier komunistyczny
tama G2_kiszczak
modernista G2_ogród
agencja AND_prostytutka
odpoczynek AND_świętowanie
klimat G1_warszawa
kooperacja AND_informacja
zastosowanie AND_poznań
koleżeńskość AND_przyjaźń
szafran SUBJ_uczyć
kardynał G2_kierunek
nieskuteczność G1_antykoncepcja
pokłada G1_śmigłowiec
przełamanie G1_zrost
demon SUBJ_wywoływać
równość G2_akceptowanie
misa owalny
obrzęd AND_święto
procedura wydłużony
zasługa SUBJ_spadać
kołchoz były
żal G1_jacek
kieszeń SUBJ_obmacywać
złoto różowy
replika G1_sarkofag
aleksandrowicz AND_mateusz
kwitek G1_amerykan
budowa G1_stojak
matka G2_niewola
okupacja straszny
mistyk AND_cudotwórca
majątek G2_ujawnienie
szablon G1_powiat
odczucie AND_preferencja
miłość AND_bezdzietność
danie pewny
ubezpieczenie AND_aktualność
przemyt SUBJ_róść
maciej G2_dyspozycja
kolejność AND_zmiana
notatnik AND_zeszyt
neorealista włoski
wicepremier SUBJ_zarzucać
rząd G1_wół
fala AND_mikrofala
zadanie czekający
portrecik G1_matka
szczęk SUBJ_pokrywać
oficer nazistowski
wydanie AND_zużycie
przełamanie AND_prezydentura
karykatura SUBJ_nauczyć
morze pełny
czechosłowacja SUBJ_traktować
kosma SUBJ_uspokoić
rafael G2_siostra
przedmiot G1_dialog
sukces AND_młodość
petarda AND_beczka
wyrób G2_ukrycie
wygląd G1_but
kraj AND_śledzenie
instytut gwatemalski
porażka SUBJ_przynieść
koagulant AND_wapno
dół AND_koniec
noc SUBJ_zakwitać
zlecenie G2_wartość
zaufanie AND_lepper
sędzia SUBJ_zastraszać
przebłysk G1_waleczność
orientacja SUBJ_uniemożliwiać
port G2_zabudowa
podwyższanie SUBJ_otrzymać
przesunięcie G1_rozmiar
bark SUBJ_wypaść_wypadnie
urzędnik wojewódzki
internet AND_poprawność
bieliźniarstwo AND_wyrób
ziarno AND_siano
konfiguracja G1_komunikacja
zawieszenie AND_kompresor
okrąg G2_ustalanie
mówca SUBJ_skierować
gospodarstwo pięcioosobowy
niedola AND_śmierć
chorwat AND_czech
dostępność G1_doradca
ośrodek G1_drukowanie
episkopat SUBJ_przypominać
polityka G2_wiarygodność
nabycie AND_wykazanie
sprzątanie SUBJ_odłożyć
malina G2_kilogram
łączność AND_ustalanie
dno G1_stawa
ginekolog SUBJ_przyjmować
kompetencja wcześniejszy
teściowa G2_złość
car G2_spotkanie
osłona SUBJ_bywać
ogonek G1_kobieta
hełm otwarty
posłowie G1_stefan
rata SUBJ_wynieść
księga G1_uposażenie
chustka SUBJ_porzucić
miód G2_kielich
tran AND_sól
banan SUBJ_posiadać
wgranie G1_obrazek
poseł G2_krytyka
linia AND_kurs
inicjowanie AND_utrzymanie
włodarczyk G2_odwołanie
ptak SUBJ_zwabić
przypływ G1_depresja
leczenie G1_łukasz
biografia opublikowany
liga łódzki
adresat G2_dane
zaraza G2_żebry
butelka G2_zbieractwo
artykułowanie G2_sposób
lunapark SUBJ_przenieść
mieszkaniec nowy
komputer G2_monitorowanie
pułkownik G2_noga
rosjanin AND_grek
odra AND_rzeka
wybór G1_wojtek
jolanta G1_możdżenie
nieumiejętność AND_bezrobocie
departament G1_kultura
odkrycie AND_uwolnienie
hejnał AND_piosenka
urządzenie zastrzeżony
policja SUBJ_doprowadzić
przemiana AND_oświecenie
przeszkolenie AND_kwalifikacja
wędlina G2_jak
sedno AND_jak
stosowanie G1_perswazja
więzień G2_karmienie
wzrastanie G2_tempo
przybór toaletowy
dziadek SUBJ_przyklepać
skorzystanie AND_relacja
racja AND_przeciwstawianie
publicysta najwybitniejszy
kozioł G2_skóra
pat SUBJ_unieść
zawartość SUBJ_powąchać
biskup G2_wizja
trawa AND_pietruszka
twierdzenie SUBJ_obalać
skuteczność G2_sfera
siarka SUBJ_rozdawać
szlachetność AND_żywość
łukasz SUBJ_dojeżdżać
wiadro AND_wanna
imperatyw G1_ujawnianie
teoria liberalny
granica G1_załamek
ideał G2_potwierdzenie
mantra G1_podróż
język silny
sposób SUBJ_zaradzić
maska kolejny
dokument najróżniejszy
energia łączny
rzecz AND_rękopis
niechęć AND_polskość
udział G1_amerykanin
komunikat kolejny
magazyn AND_garnizon
umocowanie G1_białko
mariolka SUBJ_stawiać
cykl G2_pisanie
rata pojedynczy
filtr SUBJ_podłączyć
apelacja spóźniony
poezja doskonały
zapas dodatkowy
oficjel AND_sponsor
kilak SUBJ_zakończyć
klamra AND_kotwa
dywersyfikacja G1_działalność
oberżysta AND_mydlarz
kajet SUBJ_mieść
broń G2_przesyłek
skoczka G2_aleksandra
renta G2_przyczyna
przymus AND_obligacja
widownia G2_układ
bank SUBJ_obciążyć
powtórzenie G1_zlecenie
rozbiórka AND_odgruzowywanie
więzień AND_numer
wyżywienie SUBJ_ulec
spacerowicz AND_widz
korupcja AND_przyjmowanie
piżama SUBJ_nosić
współzałożyciel G1_organizacja
państwowość G2_zaranie
prezes G2_krawat
sejm AND_nik
